City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yulara,AU,84.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
3,Atuona,PF,79.14,clear sky,-9.8,-139.03,Villa Enata
9,Lubao,PH,77.0,broken clouds,14.92,120.55,Hacienda Gracia
13,Makakilo City,US,78.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
18,Butaritari,KI,81.9,scattered clouds,3.07,172.79,Isles Sunset Lodge
22,Rikitea,PF,76.32,light rain,-23.12,-134.97,Pension Maro'i
29,Empalme,MX,82.99,clear sky,27.97,-110.82,El Limonal
34,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
38,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
39,Carutapera,BR,79.81,broken clouds,-1.2,-46.02,Lidera
42,Vaini,TO,77.0,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
46,Kununurra,AU,80.6,scattered clouds,-15.77,128.73,Hotel Kununurra
48,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
49,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
53,Mahajanga,MG,82.4,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
60,Impfondo,CG,76.46,broken clouds,1.64,18.07,Préfecture de la Likouala
64,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.08,Scoop Guest House
69,Hambantota,LK,78.8,clear sky,6.12,81.12,Bungalow 63
77,Pangai,TO,78.8,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
83,Eirunepe,BR,81.36,moderate rain,-6.66,-69.87,Pousada Novo Acre
85,Tucurui,BR,84.94,light rain,-3.77,-49.67,BBB Rooms Centro Tucurui PA
97,Kahului,US,77.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
101,Hilo,US,77.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
103,Cidreira,BR,79.21,scattered clouds,-30.18,-50.21,Hotel Castelo
107,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
109,Pedasi,PA,80.73,light rain,7.53,-80.03,Selina Pedasi
113,San Juan Del Cesar,CO,84.11,light rain,10.77,-73.0,Hotel Saraje
118,Eydhafushi,MV,82.38,clear sky,5.1,73.07,Soneva Fushi
120,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
123,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
125,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
131,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
135,Kudahuvadhoo,MV,82.08,few clouds,2.67,72.89,Kudahuvadhoo Retreat
138,Sabang,ID,80.38,overcast clouds,5.89,95.32,Hotel Citra
141,Esmeraldas,BR,84.2,broken clouds,-19.76,-44.31,Bom Será - Marcinho e Fernanda
149,Kattivakkam,IN,77.0,broken clouds,13.22,80.32,St. Joseph Thirumana mandapam
150,Tanete,ID,77.23,overcast clouds,-3.94,119.78,Wisma Tri Multi
151,Kandrian,PG,78.19,light rain,-6.22,149.55,Kandrian Station
160,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
161,Thiruvananthapuram,IN,86.0,haze,8.48,76.92,Hotel Residency Tower
164,Inhambane,MZ,77.0,broken clouds,-23.86,35.38,Oceano
172,Bundaberg,AU,75.99,clear sky,-24.85,152.35,Takalvan Motel
176,Cayenne,GF,84.2,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
179,Maxixe,MZ,77.0,broken clouds,-23.86,35.35,Oceano
185,Coahuayana,MX,78.8,broken clouds,18.73,-103.68,Hotel Los Arcos
186,Majene,ID,78.73,light rain,-3.54,118.97,Kost Putri RABBANI
188,Kyaikkami,MM,77.31,few clouds,16.08,97.57,Happy Family Kyaikkami
192,Joao Pinheiro,BR,78.06,broken clouds,-17.74,-46.17,Hotel Santos
193,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
200,Tirumullaivasal,IN,77.47,light rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
202,Angoche,MZ,79.77,clear sky,-16.23,39.91,Guest House HESADA
203,Karaton,ID,77.0,light rain,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
204,Wamba,NG,77.68,broken clouds,8.93,8.6,Roma Zee Guest House Annex
206,Cockburn Town,TC,80.6,scattered clouds,21.46,-71.14,Osprey Beach Hotel
216,Lazaro Cardenas,MX,82.96,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
219,Vilhena,BR,84.2,scattered clouds,-12.74,-60.15,Hotel Mirage
222,Bonoua,CI,82.4,few clouds,5.27,-3.6,Hotel Bon Samaritian
231,Wahiawa,US,78.8,scattered clouds,21.5,-158.02,Aloha Wahiawa
233,Kathu,TH,84.0,few clouds,7.92,98.33,Novotel Phuket Resort
236,Ibiruba,BR,83.84,light rain,-28.63,-53.09,Hotel Pitangueira - O melhor serviço pelo menor preço.
240,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
242,Castro,BR,75.34,heavy intensity rain,-24.79,-50.01,CHACARA BAILLY
246,Faanui,PF,81.16,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
253,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
255,Balabac,PH,81.25,overcast clouds,7.99,117.06,Sing and Swing Lodge
256,Katherine,AU,82.4,clear sky,-14.47,132.27,Pine Tree Motel
266,Portobelo,PA,81.0,overcast clouds,9.55,-79.65,Scuba Portobelo
272,Kavieng,PG,80.56,light rain,-2.57,150.8,Nusa Island Retreat
274,Benguela,AO,79.12,overcast clouds,-12.58,13.41,Hotel Praia Morena
277,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
279,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
283,Alice Springs,AU,80.6,few clouds,-23.7,133.88,Desert Palms Alice Springs
293,Voh,NC,75.61,clear sky,-20.97,164.7,Le gîte du Koniambo
294,Chuy,UY,79.05,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
296,Cabo San Lucas,MX,82.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
298,Pital,CO,83.03,light rain,2.27,-75.8,Finca el Rebaño Vida el Uvital
303,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
310,Balsas,BR,88.63,overcast clouds,-7.53,-46.04,Novo Hotel
312,Coyah,GN,78.15,overcast clouds,9.75,-13.42,Antenne UN Guinea canal 1.2.3
320,Belmonte,BR,84.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
321,Lorengau,PG,81.82,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
328,Tomatlan,MX,87.46,few clouds,19.93,-105.25,Norma franco
