City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.97,102.5,15.82,96,100,21.99,overcast clouds
1,Yulara,AU,-25.24,130.99,84.2,26,98,16.11,overcast clouds
2,Punta Arenas,CL,-53.15,-70.92,55.4,54,75,25.28,broken clouds
3,Atuona,PF,-9.8,-139.03,79.14,78,6,20.13,clear sky
4,Lima,PE,-12.04,-77.03,71.6,68,20,10.29,few clouds
5,Ushuaia,AR,-54.8,-68.3,50.0,61,75,20.8,broken clouds
6,Slave Lake,CA,55.28,-114.77,15.8,85,1,6.93,clear sky
7,Kodiak,US,57.79,-152.41,32.0,92,90,9.17,overcast clouds
8,Merville,FR,50.64,2.64,37.99,93,0,1.99,clear sky
9,Lubao,PH,14.92,120.55,77.0,83,75,4.7,broken clouds
10,Chapais,CA,49.78,-74.85,28.4,79,90,3.36,light snow
11,Ahipara,NZ,-35.17,173.17,65.37,91,98,11.16,overcast clouds
12,Saskylakh,RU,71.92,114.08,12.16,93,95,15.75,overcast clouds
13,Makakilo City,US,21.35,-158.09,78.8,61,20,9.17,few clouds
14,Jamestown,US,42.1,-79.24,50.0,39,1,9.17,clear sky
15,Broome,US,42.25,-75.83,51.01,42,1,11.41,clear sky
16,Hasaki,JP,35.73,140.83,41.0,86,75,5.82,broken clouds
17,Pevek,RU,69.7,170.31,-1.03,93,100,8.08,overcast clouds
18,Butaritari,KI,3.07,172.79,81.9,77,37,21.41,scattered clouds
19,Victoria,HK,22.29,114.16,64.99,68,100,11.21,overcast clouds
20,Camacha,PT,33.08,-16.33,60.8,63,40,19.46,scattered clouds
21,Rawah,IQ,34.48,41.91,56.14,54,0,3.85,clear sky
22,Rikitea,PF,-23.12,-134.97,76.32,81,92,11.9,light rain
23,Mataura,NZ,-46.19,168.86,51.01,93,100,3.0,light rain
24,Hofn,IS,64.25,-15.21,38.91,72,87,13.27,overcast clouds
25,Yakeshi,CN,49.28,120.73,-7.24,90,98,4.5,overcast clouds
26,Torbay,CA,47.67,-52.73,41.0,93,90,21.92,overcast clouds
27,Amethi,IN,26.15,81.82,62.28,42,0,3.94,clear sky
28,Fort William,GB,56.82,-5.11,43.0,96,99,5.17,overcast clouds
29,Empalme,MX,27.97,-110.82,82.99,16,5,14.99,clear sky
30,Buraydah,SA,26.33,43.98,57.2,93,0,4.7,clear sky
31,Coihaique,CL,-45.58,-72.07,55.4,54,40,6.93,scattered clouds
32,Te Anau,NZ,-45.42,167.72,46.27,88,100,1.23,overcast clouds
33,Bluff,NZ,-46.6,168.33,51.01,93,100,3.0,light rain
34,Port-Gentil,GA,-0.72,8.78,80.6,88,40,8.05,scattered clouds
35,Yellowknife,CA,62.46,-114.35,26.01,79,20,8.05,few clouds
36,Barrow,US,71.29,-156.79,1.4,84,90,5.82,overcast clouds
37,Norman Wells,CA,65.28,-126.83,-2.2,77,75,2.24,broken clouds
38,Kapaa,US,22.08,-159.32,78.8,69,20,13.87,few clouds
39,Carutapera,BR,-1.2,-46.02,79.81,88,74,7.63,broken clouds
40,Yeppoon,AU,-23.13,150.73,64.4,88,0,4.25,clear sky
41,Hobart,AU,-42.88,147.33,50.0,81,20,5.82,few clouds
42,Vaini,TO,-21.2,-175.2,77.0,78,40,13.87,light intensity shower rain
43,Praya,CV,14.92,-23.51,73.4,69,75,13.87,broken clouds
44,Carnarvon,AU,-24.87,113.63,68.0,72,40,24.16,scattered clouds
45,Sciacca,IT,37.51,13.09,51.01,99,53,5.99,broken clouds
46,Kununurra,AU,-15.77,128.73,80.6,88,40,3.36,scattered clouds
47,Tiznit,MA,29.58,-9.5,59.45,71,100,2.73,light rain
48,Avarua,CK,-21.21,-159.78,80.6,88,99,5.82,light rain
49,Grand Gaube,MU,-20.01,57.66,75.0,80,3,5.01,clear sky
50,Port Alfred,ZA,-33.59,26.89,63.63,73,0,7.16,clear sky
51,Bengkulu,ID,-3.8,102.27,74.57,84,100,3.67,moderate rain
52,Ribeira Grande,PT,38.52,-28.7,59.0,72,40,10.29,light intensity shower rain
53,Mahajanga,MG,-15.72,46.32,82.4,78,20,10.29,few clouds
54,Kawalu,ID,-7.38,108.21,70.7,90,100,2.01,overcast clouds
55,Turukhansk,RU,65.82,87.98,-1.35,92,100,12.77,overcast clouds
56,Tuktoyaktuk,CA,69.45,-133.04,-5.8,83,75,5.82,mist
57,East London,ZA,-33.02,27.91,65.97,72,2,6.15,clear sky
58,Dikson,RU,73.51,80.55,31.41,99,100,27.11,light snow
59,Lebu,CL,-37.62,-73.65,55.83,65,0,25.97,clear sky
60,Impfondo,CG,1.64,18.07,76.46,71,67,2.71,broken clouds
61,Blackwater,AU,-23.58,148.88,69.13,74,0,3.47,clear sky
62,Bismarck,US,46.81,-100.78,33.8,47,1,16.11,clear sky
63,Bhum,IN,18.47,75.67,73.15,70,71,8.77,broken clouds
64,Hithadhoo,MV,-0.6,73.08,82.29,69,100,7.9,overcast clouds
65,Keti Bandar,PK,24.14,67.45,70.02,38,0,4.41,clear sky
66,Voyvozh,RU,62.89,54.96,8.24,95,0,7.27,clear sky
67,Qaanaaq,GL,77.48,-69.36,-17.07,81,100,1.97,overcast clouds
68,Pangkalanbuun,ID,-2.68,111.62,72.75,97,100,2.42,overcast clouds
69,Hambantota,LK,6.12,81.12,78.8,94,0,6.93,clear sky
70,Bredasdorp,ZA,-34.53,20.04,57.2,76,0,3.36,clear sky
71,Ilulissat,GL,69.22,-51.1,28.4,63,100,18.34,overcast clouds
72,Busselton,AU,-33.65,115.33,51.01,97,26,16.73,scattered clouds
73,Namie,JP,37.48,141.0,37.0,82,43,3.49,scattered clouds
74,Mar Del Plata,AR,-38.0,-57.56,68.0,49,22,17.22,few clouds
75,Lompoc,US,34.64,-120.46,66.2,22,1,4.54,clear sky
76,Pompeu,BR,-19.22,-44.94,78.35,54,17,6.04,few clouds
77,Pangai,TO,-19.8,-174.35,78.8,74,75,9.17,broken clouds
78,Warrnambool,AU,-38.38,142.48,48.0,94,97,7.83,overcast clouds
79,Rizhao,CN,35.43,119.46,33.6,83,0,6.38,clear sky
80,Thompson,CA,55.74,-97.86,5.0,77,75,3.36,broken clouds
81,Saint-Philippe,RE,-21.36,55.77,73.4,78,0,4.7,clear sky
82,Tazovskiy,RU,67.47,78.7,13.71,96,100,16.33,overcast clouds
83,Eirunepe,BR,-6.66,-69.87,81.36,90,100,4.41,moderate rain
84,Hermanus,ZA,-34.42,19.23,57.99,83,0,8.16,clear sky
85,Tucurui,BR,-3.77,-49.67,84.94,71,100,3.18,light rain
86,Nantucket,US,41.28,-70.1,53.6,58,1,12.75,clear sky
87,Lake Havasu City,US,34.48,-114.32,66.2,15,1,8.05,clear sky
88,Anadyr,RU,64.75,177.48,-0.4,84,75,15.66,light snow
89,Launceston,AU,-41.45,147.17,46.0,87,4,1.12,clear sky
90,Cape Town,ZA,-33.93,18.42,63.0,77,0,18.34,clear sky
91,Cherskiy,RU,68.75,161.3,-9.69,90,100,5.32,overcast clouds
92,Gympie,AU,-26.19,152.66,69.01,86,54,1.01,broken clouds
93,Honningsvag,NO,70.98,25.97,37.4,74,20,25.28,few clouds
94,Narsaq,GL,60.92,-46.05,21.2,48,100,6.93,overcast clouds
95,Tekeli,KZ,44.83,78.82,16.09,88,100,6.58,light snow
96,Guerrero Negro,MX,27.98,-114.06,73.31,23,0,7.36,clear sky
97,Kahului,US,20.89,-156.47,77.0,65,40,11.41,scattered clouds
98,Vardo,NO,70.37,31.11,30.2,86,20,44.96,few clouds
99,Albany,US,42.6,-73.97,50.0,33,0,4.05,clear sky
100,Susehri,TR,40.16,38.09,37.6,72,0,1.86,clear sky
101,Hilo,US,19.73,-155.09,77.0,65,1,3.36,clear sky
102,Ekhabi,RU,53.51,142.97,21.87,94,100,15.86,overcast clouds
103,Cidreira,BR,-30.18,-50.21,79.21,77,39,6.53,scattered clouds
104,Tommot,RU,58.96,126.29,0.55,90,100,10.31,light snow
105,Svetlyy,RU,54.67,20.13,33.01,96,0,4.47,clear sky
106,Upernavik,GL,72.79,-56.15,8.04,88,100,18.32,overcast clouds
107,San Cristobal,VE,7.77,-72.22,87.8,58,40,4.7,scattered clouds
108,Vostok,RU,46.49,135.88,2.39,94,100,4.7,overcast clouds
109,Pedasi,PA,7.53,-80.03,80.73,80,38,6.13,light rain
110,Trelew,AR,-43.25,-65.31,65.55,26,19,8.48,few clouds
111,Shingu,JP,33.73,135.98,44.69,81,0,7.7,clear sky
112,Beringovskiy,RU,63.05,179.32,4.62,92,8,13.4,clear sky
113,San Juan Del Cesar,CO,10.77,-73.0,84.11,72,48,8.72,light rain
114,Elliot Lake,CA,46.38,-82.63,44.6,81,40,11.41,scattered clouds
115,Namibe,AO,-15.2,12.15,72.0,77,100,7.02,overcast clouds
116,Airai,TL,-8.93,125.41,61.88,91,19,1.52,few clouds
117,Laguna,US,38.42,-121.42,60.01,50,1,3.36,clear sky
118,Eydhafushi,MV,5.1,73.07,82.38,71,9,10.92,clear sky
119,Hirado,JP,33.36,129.55,50.0,35,42,1.99,scattered clouds
120,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,19.46,broken clouds
121,Sisimiut,GL,66.94,-53.67,23.68,94,100,6.29,overcast clouds
122,Gornopravdinsk,RU,60.05,69.9,4.93,94,0,3.22,clear sky
123,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
124,New Norfolk,AU,-42.78,147.06,48.0,72,45,2.17,scattered clouds
125,Quatre Cocos,MU,-20.21,57.76,75.2,83,40,6.93,scattered clouds
126,Clyde River,CA,70.47,-68.59,-13.0,75,1,5.82,clear sky
127,Lasa,IT,46.62,10.7,30.2,80,5,4.7,clear sky
128,Xai-Xai,MZ,-25.05,33.64,73.98,77,100,16.53,overcast clouds
129,Batagay-Alyta,RU,67.8,130.41,-4.47,82,54,3.09,broken clouds
130,Hokitika,NZ,-42.72,170.97,53.67,87,100,7.02,overcast clouds
131,Olinda,BR,-8.01,-34.86,78.8,65,40,12.75,scattered clouds
132,Saint Anthony,US,45.02,-93.22,37.0,43,1,14.99,clear sky
133,Rudnaya Pristan,RU,44.36,135.81,15.73,86,0,7.81,clear sky
134,Svetlogorsk,BY,52.63,29.73,30.0,98,92,6.55,overcast clouds
135,Kudahuvadhoo,MV,2.67,72.89,82.08,67,20,7.85,few clouds
136,Nikolskoye,RU,59.7,30.79,30.2,86,90,13.42,overcast clouds
137,Le Port,RE,-20.94,55.29,73.4,73,0,13.87,clear sky
138,Sabang,ID,5.89,95.32,80.38,76,100,4.59,overcast clouds
139,Tuatapere,NZ,-46.13,167.68,51.01,93,100,3.0,moderate rain
140,Durango,MX,24.83,-104.83,65.55,32,0,7.85,clear sky
141,Esmeraldas,BR,-19.76,-44.31,84.2,45,75,8.05,broken clouds
142,Helong,CN,42.54,129.0,14.43,85,0,5.21,clear sky
143,Geraldton,AU,-28.77,114.6,64.4,63,100,10.29,overcast clouds
